accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.96,0.03,-0.59,4.21,-3.42,-3.48,0.27,0.33,0.00
-0.57,0.29,-0.71,-1.46,-126.04,-5.37,0.00,0.00,0.00
-0.88,0.26,-0.67,-34.24,-3.42,12.02,0.22,0.00,0.00
-1.06,0.16,-1.06,-12.21,-121.52,-15.75,0.00,0.00,0.00
-0.62,0.24,-1.16,-54.87,38.51,3.60,0.00,0.00,0.06
-0.98,0.02,-0.65,17.09,-19.23,4.94,0.14,0.27,0.14
-0.99,0.32,-1.00,21.42,-7.63,-6.65,0.00,0.00,0.00
-0.73,0.35,-0.90,-20.87,-46.57,-9.09,0.00,0.00,0.00
-0.82,0.02,-0.99,3.97,-68.97,-2.99,0.27,0.32,0.00
-0.89,0.40,-0.35,19.84,25.33,11.17,0.00,0.00,0.00
-0.92,0.09,-0.47,-18.25,-54.50,-2.01,0.00,0.11,0.44
-0.95,0.09,-0.65,19.04,13.43,-14.10,0.18,0.24,0.00
-0.94,0.22,-0.78,-83.56,108.64,-2.38,0.00,0.00,0.00
-0.76,0.04,-0.14,24.72,-62.62,1.77,0.17,0.21,0.17
-0.92,0.01,-0.65,72.69,-60.91,14.95,0.00,0.00,0.00
-1.03,0.05,-0.61,2.93,-59.45,-5.13,0.00,0.00,0.00
-0.85,0.08,-0.97,8.54,-19.78,0.61,0.19,0.24,0.19
-0.70,0.15,-0.48,71.66,31.13,26.79,0.00,0.00,0.00
-1.32,0.44,-0.34,-29.60,2.69,2.62,0.06,0.10,0.46
-0.98,0.16,-0.54,77.21,14.28,12.39,0.00,0.00,0.00
-0.77,0.03,-0.91,57.80,-24.66,23.50,0.00,0.00,0.00
-0.91,0.09,-0.80,43.95,-35.46,1.53,0.00,0.18,0.31
-0.96,0.09,-0.26,182.25,32.04,42.18,0.00,0.00,0.00
-0.94,0.07,-0.75,-71.41,-110.90,-18.49,0.00,0.14,0.32
-0.98,0.04,-0.69,35.64,-87.65,15.32,0.00,0.00,0.00
-1.05,-0.21,-0.92,-5.62,-125.79,-12.27,0.00,0.08,0.00
-0.81,0.30,-0.56,13.79,-36.32,-37.48,0.09,0.17,0.10
-1.10,0.23,-0.53,-51.76,148.25,18.86,0.00,0.00,0.00
-0.91,-0.05,-0.68,22.40,59.20,2.38,0.11,0.27,0.10
-0.93,0.02,-0.45,-9.64,-9.03,6.53,0.00,0.00,0.00
-1.98,-0.66,-0.92,-139.77,-188.60,-17.40,0.00,0.00,0.41
-0.93,0.20,-0.49,35.16,-32.90,-16.72,0.00,0.06,0.80
-1.20,0.02,-0.67,-99.37,109.25,-14.89,0.00,0.00,0.00
-1.03,0.06,-0.97,15.32,-0.49,3.23,0.26,0.33,0.00
-1.04,0.01,-0.49,-20.08,-28.32,-17.70,0.19,0.10,0.22
-1.22,0.08,-0.74,-121.70,138.98,-30.09,0.00,0.00,0.00
-0.75,0.05,-0.95,-2.93,2.26,7.08,0.38,0.13,0.00
-1.08,0.02,-0.69,13.06,-105.59,-19.41,0.00,0.00,0.00
-1.02,-0.13,-0.69,59.63,-39.98,39.67,0.05,0.00,0.00
-1.14,0.04,-0.62,-0.55,-66.96,-29.24,0.00,0.00,0.00
-0.97,0.12,-0.60,-52.55,43.46,-17.58,0.00,0.00,0.00
-0.99,0.09,-0.81,14.28,-37.29,-1.89,0.27,0.30,0.00
