accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.94,0.03,-0.43,-31.62,108.34,20.81,0.00,0.00,0.00
-0.99,-0.17,-0.22,26.43,-21.00,19.96,0.00,0.00,1.12
-1.02,0.03,-0.39,-22.95,-19.47,-8.97,0.00,0.10,1.02
-0.94,-0.07,-0.65,14.22,-32.90,0.43,0.21,0.37,0.00
-0.94,0.08,-0.74,22.77,-68.18,-10.25,0.00,0.00,0.00
-0.89,0.40,-0.57,109.13,62.38,40.34,0.00,0.00,0.00
-1.03,-0.00,-0.28,-9.16,-28.93,-0.49,0.00,0.00,1.23
-0.91,-0.19,-0.71,-0.92,-6.65,9.03,0.00,0.00,1.26
-1.00,0.18,-0.67,-39.86,-46.39,-21.67,0.19,0.14,0.00
-0.73,0.05,-0.99,19.04,-28.32,-7.69,0.00,0.00,0.00
-1.07,0.43,-0.98,-110.29,210.45,-49.07,0.00,0.00,0.00
-1.08,-0.04,-0.21,-0.06,-30.64,0.06,0.00,0.00,1.00
-1.00,-0.05,-0.31,0.79,-16.24,5.37,0.00,0.00,1.30
-0.95,-0.01,-0.61,-4.39,-38.02,-10.38,0.21,0.17,0.00
-0.77,0.04,-0.98,-3.42,-14.47,-14.47,0.00,0.00,0.00
-1.01,-0.02,-1.19,27.65,244.81,62.74,0.00,0.00,0.00
-1.04,-0.04,-0.09,12.15,-23.13,3.91,0.00,0.00,0.56
-1.05,-0.06,-0.31,-9.34,-20.81,1.71,0.00,0.00,1.21
-1.00,-0.02,-0.47,74.52,-11.84,20.75,0.00,0.07,0.57
-1.01,0.09,-0.66,-2.62,-21.42,-4.52,0.19,0.23,0.00
-0.66,0.06,-1.00,8.24,-27.04,-12.88,0.00,0.00,0.00
-0.66,0.35,-0.92,100.59,-17.70,82.21,0.00,0.00,0.00
-0.77,0.21,-0.74,163.64,13.24,94.36,0.00,0.00,0.00
-0.96,0.23,-0.15,3.05,0.37,5.25,0.00,0.00,0.70
-1.01,-0.04,-0.43,-21.61,-13.06,-11.35,0.00,0.00,1.30
-0.79,0.25,-0.69,-22.34,-54.14,-0.79,0.05,0.26,0.00
-1.28,0.33,-0.77,102.97,-109.62,56.15,0.00,0.00,0.00
-0.87,0.04,-0.26,85.21,5.68,18.55,0.00,0.00,0.00
-1.04,0.00,-0.27,14.71,-32.71,2.56,0.00,0.00,0.97
-0.98,-0.17,-0.53,10.01,-18.43,-2.26,0.00,0.00,0.65
-0.90,0.02,-0.84,9.34,-41.14,1.46,0.24,0.18,0.00
-1.01,0.36,-0.92,49.13,-69.52,-4.58,0.00,0.00,0.00
-0.85,-0.03,-0.62,64.82,86.79,41.38,0.00,0.00,0.00
-1.00,-0.03,-0.24,-17.27,-32.17,5.55,0.00,0.00,0.98
-0.95,-0.17,-0.43,10.93,-16.36,3.42,0.00,0.00,0.89
-0.83,0.02,-0.79,-8.42,-51.45,-10.25,0.25,0.23,0.00
-0.72,0.03,-0.96,19.96,-20.57,-7.57,0.00,0.00,0.00
-1.11,0.07,-1.06,-84.11,221.44,28.44,0.00,0.00,0.00
-0.97,-0.04,-0.07,4.70,-24.60,6.35,0.00,0.00,0.63
-1.03,-0.03,-0.40,-13.18,-21.97,3.30,0.00,0.00,1.22
-0.97,-0.12,-0.51,24.41,-25.63,-3.36,0.00,0.09,0.65
-0.85,0.03,-0.90,22.40,-29.11,-0.37,0.19,0.10,0.00
-0.73,0.10,-0.98,40.22,-53.65,1.46,0.00,0.00,0.00
-0.62,0.12,-1.14,-53.89,74.83,-53.47,0.00,0.00,0.00
