accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.2,0.95,-0.21,16.24,12.51,-30.88,0.56,0.07,0,0.3
-0.2,0.97,-0.06,12.33,13.06,17.03,0.9,0.25,0.38,0
-0.16,1.03,-0.17,16.11,-20.02,36.87,0.89,0.33,0.34,0
-0.1,1.07,-0.16,-0.06,-20.63,20.63,0.63,0.14,0.15,0.37
-0.09,0.99,-0.16,19.9,-0.61,37.05,0.89,0.46,0.45,0
0.15,1,-0.27,20.2,-29.24,19.04,0.35,0,0,0.73
-0.17,1,-0.15,4.33,-4.15,27.95,0.85,0.32,0.33,0
-0.14,1,-0.25,10.8,-6.53,-6.71,0.41,0,0.08,0.21
-0.13,0.96,-0.16,3.36,10.44,-3.17,0.58,0,0.31,0.11
-0.2,0.97,-0.13,6.53,-0.49,-0.55,0.6,0.17,0.26,0
-0.14,1,-0.13,0.73,0.49,-4.27,0.7,0.25,0.31,0
-0.11,1,-0.12,6.1,2.81,3.05,0.62,0.11,0.22,0.16
-0.18,1.02,-0.14,-5.8,2.44,-13.98,0.66,0.27,0.24,0
-0.04,1,-0.18,2.62,1.04,-1.4,0.41,0,0.07,0.6
-0.07,1.06,-0.18,-4.21,-20.02,5.07,0.62,0,0.18,0.49
-0.19,1.07,-0.2,8.24,16.66,4.88,0.33,0.27,0.09,0.3
-0.17,1,-0.17,4.33,2.99,-1.46,0.64,0.41,0.22,0.1
-0.16,1.01,-0.17,2.38,-1.28,-0.37,0.68,0.48,0.26,0
-0.15,1.01,-0.18,2.44,-0.06,-1.71,0.57,0.4,0.2,0.2
-0.11,1,-0.17,5.19,5.31,-7.14,0.53,0.34,0.17,0.38
-0.07,1,-0.17,0.92,1.65,-3.17,0.41,0.24,0.09,0.73
-0.05,1.01,-0.19,2.01,-1.95,0.43,0.31,0.19,0,0.83
-0.06,1.01,-0.19,3.3,-1.28,0.37,0.3,0.19,0,0.74
-0.06,1.01,-0.19,3.05,-0.55,0.61,0.38,0.25,0.08,0.66
-0.05,0.99,-0.2,1.53,-20.81,-0.43,0.44,0.2,0.09,0.66
-0.06,1,-0.17,3.3,-0.12,1.34,0.53,0.29,0.16,0.5
-0.08,1,-0.19,1.22,1.04,-1.89,0.52,0.29,0.16,0.5
-0.05,1.01,-0.17,3.91,0.61,-0.37,0.42,0.21,0.11,0.64
-0.1,0.99,-0.15,4.09,-1.65,-1.65,0.56,0.31,0.17,0.43
-0.07,1.02,-0.14,1.34,-0.31,-2.08,0.56,0.32,0.18,0.45
-0.08,1.01,-0.15,3.05,2.26,0.12,0.45,0.23,0.12,0.62
-0.08,1,-0.16,3.85,0.49,0.55,0.56,0.32,0.18,0.4
-0.07,1.01,-0.18,2.5,-1.95,-1.04,0.46,0.26,0.14,0.57
-0.1,1.01,-0.16,1.16,-2.62,0.18,0.43,0.23,0.11,0.66
-0.07,1,-0.16,2.44,0.18,-0.85,0.44,0.23,0.11,0.65
-0.07,1,-0.18,2.62,1.89,-0.92,0.48,0.27,0.14,0.69
-0.06,1.01,-0.17,2.5,-0.37,-0.24,0.42,0.21,0.09,0.68
-0.07,1.01,-0.18,2.87,0,0.06,0.42,0.21,0.09,0.71
-0.12,1,-0.15,9.28,0.61,10.56,0.51,0.29,0.15,0.45
-0.07,1.02,-0.19,2.62,-10.74,3.66,0.41,0.19,0.12,0.64
-0.29,0.97,0,5.19,4.09,-3.23,0.62,0.34,0.2,0.32
-0.04,1.06,-0.21,6.53,8.97,6.47,0.45,0.21,0.13,0.61
-0.3,0.95,-0.03,-5.49,-4.64,-17.27,0.6,0.32,0.21,0.28
-0.23,0.94,0.03,-10.19,2.81,1.71,0.73,0.11,0.31,0.53
-0.37,0.97,-0.16,23.19,-20.94,-23.01,0.38,0.19,0.05,0.32
-0.24,0.98,0.01,-21.18,-2.26,-4.33,0.48,0.07,0.16,0.62
-0.26,0.95,-0.04,8.73,-6.77,-28.14,0.49,0.11,0.12,0.54
-0.42,0.95,-0.07,39.06,18.86,43.64,0.47,0.17,0.12,0.31
-0.25,0.95,-0.05,-32.17,-7.51,-47.55,0.48,0.18,0.13,0.28
-0.25,0.93,-0.02,35.89,12.51,34.85,0.47,0.17,0.14,0.34
-0.37,0.89,0.02,-33.51,-9.16,-51.57,0.51,0.21,0.16,0.44
-0.23,1.1,0.05,25.57,11.72,-0.79,0.55,0,0.22,0.48
-0.47,0.88,-0.06,2.32,-0.67,25.82,0.26,0.08,0,0.4
-0.3,0.84,0.15,24.72,-34.55,-2.75,0.39,0,0.14,0.52
-0.18,1,0.08,14.83,10.38,4.7,0.55,0,0.25,0.17
-0.56,0.85,0.14,-1.16,-0.67,-1.65,0.63,0.27,0.27,0
-0.5,0.82,0.15,8.3,-2.01,10.86,0.54,0.18,0.21,0.13
0.01,0.99,-0.31,12.21,-33.94,15.81,0.27,0,0.06,0.61
-0.2,0.96,-0.05,-29.79,0.79,-5,0.26,0,0.08,0.54
-0.13,1.11,-0.23,37.72,-17.27,17.4,0.4,0,0.12,0.5
-0.47,0.89,0.11,12.76,3.66,9.89,0.54,0.16,0.2,0.11
-0.05,1.03,-0.22,-14.59,-40.53,-11.78,0,0,0,0.69
-0.35,0.79,0.08,21.67,4.7,24.6,0.62,0.52,0.25,0.07
-0.39,0.88,0.11,2.81,2.32,0.55,0.55,0.26,0.24,0.26
-0.1,1.01,-0.28,-24.66,-15.99,-40.71,0.26,0,0.06,0.64
-0.39,0.76,0.07,16.91,-0.18,20.2,0.6,0.41,0.21,0
