accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.16,1.01,0.12,-18.07,7.81,22.95,3.17,0,0,0.46
-0.26,1.02,-0.17,-22.03,-5.19,7.08,0.45,0.16,0.2,0.29
0.24,0.89,0.28,-8.79,55.85,16.85,3.1,0,0,0.33
-0.24,0.98,-0.3,-23.44,-34.48,10.01,0.43,0.25,0.25,0.06
-0.11,1.01,-0.19,-8.12,-13.85,-3.78,0.72,0.31,0.44,0.25
-0.23,1.03,0.07,-20.94,-38.51,29.17,0.24,0.11,0.05,0.97
-0.21,1.01,-0.2,-21.91,-10.99,3.48,0.96,0.26,0.55,0.13
-0.17,0.99,-0.11,-10.99,1.59,4.15,0.39,0.17,0.17,0.82
-0.12,0.94,-0.39,-44.68,-15.32,4.15,0.38,0.15,0.37,0
-0.01,1.05,-0.06,-26.61,65.8,17.52,0.16,0.14,0.07,0.91
-0.23,1.05,-0.27,-31.19,-12.94,5,0.57,0.34,0.45,0
-0.17,0.99,-0.22,-17.82,-6.84,11.47,0.79,0.25,0.53,0
-0.1,1.05,-0.14,-14.71,34.79,5.55,0.14,0.11,0,0.83
-0.13,1.02,-0.08,-10.99,-6.9,22.64,0.24,0.13,0.11,0.62
-0.22,1.06,-0.28,-40.04,-7.26,7.63,0.71,0.36,0.52,0
-0.27,0.96,-0.17,-18.07,-7.14,12.88,0.56,0.2,0.29,0.45
-0.02,0.89,-0.44,63.9,-34.42,-12.63,1.89,0,0,0
-0.22,1.03,-0.07,-6.29,11.54,13.24,0.29,0.09,0.12,0.88
-0.24,1.02,-0.22,-24.96,52.06,-3.97,0.78,0.19,0.5,0
0.07,1.17,0.64,-2.75,45.53,-5.86,1.8,0,0,0.18
-0.11,0.99,-0.05,-11.17,-1.4,16.48,0.22,0.12,0.06,0.8
-0.26,0.98,-0.22,-18.55,-21.42,9.03,0.72,0.25,0.45,0.1
0.07,1.01,-0.17,-1.95,12.45,27.89,0.32,0.14,0.11,0.75
-0.22,1.02,-0.36,-52.8,-20.26,21.61,0.92,0.22,0.6,0
-0.33,1.02,0.02,-15.38,75.44,11.47,0.1,0.05,0,0.88
-0.11,1,-0.22,-22.03,-1.53,-10.38,0.19,0.15,0.04,0.49
