accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-1.01,0.12,-0.48,9.09,3.78,2.50,0.07,0.15,0.13,0.00,2
-0.99,0.03,-0.48,8.24,-3.66,3.42,0.18,0.24,0.22,0.00,2
-1.00,0.08,-0.50,1.71,0.24,-4.76,0.11,0.23,0.23,0.00,2
-1.00,0.12,-0.49,3.78,-1.04,-2.32,0.10,0.20,0.00,0.00,2
-0.99,0.13,-0.50,4.33,-1.28,-1.65,0.11,0.21,0.00,0.00,2
-1.01,0.17,-0.52,5.13,2.20,-0.55,0.05,0.16,0.00,0.00,2
-0.99,0.16,-0.51,0.92,-0.37,-1.53,0.00,0.17,0.00,0.00,2
-0.96,0.17,-0.53,2.38,-1.40,4.52,0.00,0.15,0.00,0.00,2
-0.99,0.07,-0.49,1.53,-0.85,7.75,0.10,0.28,0.37,0.00,2
-1.01,0.01,-0.50,2.14,-0.55,2.75,0.20,0.33,0.17,0.00,2
-0.82,0.15,-0.30,2.99,-67.63,-21.91,0.10,0.09,0.00,0.00,2
-0.78,0.11,-0.57,25.27,-14.10,5.25,0.00,0.00,0.00,0.00,2
-1.02,0.05,-0.22,-5.55,-17.27,8.12,0.00,0.00,0.87,0.00,2
-1.01,-0.09,-0.40,-8.73,-11.90,-0.67,0.00,0.10,0.55,0.00,2
-0.93,-0.06,-0.55,-10.25,-16.60,-7.02,0.26,0.26,0.00,0.00,2
-0.86,0.08,-0.76,5.25,-23.80,-6.96,0.00,0.00,0.00,0.00,2
-0.86,0.36,-0.47,83.56,177.06,-19.35,0.00,0.00,0.00,0.00,2
-1.04,-0.00,-0.15,-43.76,-2.87,-1.77,0.00,0.00,0.77,0.00,2
-1.01,-0.01,-0.32,23.13,-18.13,18.49,0.00,0.00,0.58,0.00,2
-1.00,-0.01,-0.46,-7.02,-4.03,-5.68,0.00,0.21,0.39,0.00,2
-1.00,0.07,-0.52,8.91,-6.96,-1.04,0.27,0.27,0.00,0.00,2
-0.94,0.02,-0.67,14.16,-22.03,-3.78,0.20,0.00,0.00,0.00,2
-1.05,0.18,-0.72,12.82,-81.24,5.43,0.00,0.00,0.00,0.00,2
-0.96,-0.08,-0.04,-25.15,11.05,19.29,0.00,0.00,0.00,0.00,2
-1.04,0.13,-0.14,-14.53,-11.11,3.78,0.00,0.00,0.75,0.00,2
-1.03,-0.05,-0.34,-4.88,-14.53,4.03,0.00,0.00,0.74,0.00,2
-1.03,-0.04,-0.43,34.48,-6.96,7.20,0.00,0.11,0.50,0.00,2
-0.99,-0.02,-0.49,-1.04,-2.75,-4.39,0.18,0.14,0.00,0.00,2
-1.00,0.01,-0.61,5.31,-16.97,-5.43,0.29,0.00,0.00,0.00,2
-0.86,0.09,-0.86,22.28,-48.22,1.40,0.00,0.00,0.00,0.00,2
-0.93,0.55,-0.68,-73.12,137.51,-45.78,0.00,0.00,0.00,0.00,2
-1.01,0.01,-0.20,9.52,-13.18,9.64,0.00,0.00,0.74,0.00,2
-1.01,-0.01,-0.38,-3.42,-8.79,4.94,0.00,0.00,0.52,0.00,2
-1.02,0.01,-0.43,26.49,-9.89,6.65,0.18,0.22,0.00,0.00,2
-0.96,-0.03,-0.58,1.65,-13.73,-2.38,0.28,0.06,0.00,0.00,2
-0.86,0.09,-0.77,-0.98,-32.29,-7.63,0.00,0.00,0.00,0.00,2
-0.90,0.10,-0.89,1.77,181.95,33.81,0.00,0.00,0.00,0.00,2
-1.04,0.03,-0.14,-16.42,-21.18,-7.20,0.00,0.00,0.63,0.00,2
-1.04,0.03,-0.31,-37.48,-8.61,-13.37,0.00,0.00,0.92,0.00,2
-1.10,-0.16,-0.45,38.27,-11.47,6.90,0.07,0.11,0.34,0.00,2
-0.96,0.07,-0.58,30.46,-26.31,2.50,0.31,0.39,0.00,0.00,2
-1.00,0.17,-0.75,36.68,-80.57,18.01,0.00,0.00,0.00,0.00,2
-1.53,0.05,0.19,45.35,-2.01,10.93,0.00,0.00,0.00,0.00,2
-1.01,0.05,-0.23,4.88,-15.14,8.18,0.00,0.00,0.90,0.00,2
-0.99,-0.05,-0.47,8.97,-10.44,-0.98,0.16,0.19,0.08,0.00,2
-0.98,0.00,-0.62,7.20,-15.50,-2.26,0.27,0.27,0.00,0.00,2
-0.79,0.16,-0.87,30.82,-52.73,6.10,0.00,0.00,0.00,0.00,2
-0.88,0.35,-0.75,-3.54,121.95,11.54,0.00,0.00,0.00,0.00,2
-1.06,0.00,-0.14,3.23,-21.91,-2.93,0.00,0.00,0.72,0.00,2
-0.97,-0.06,-0.36,9.28,-14.40,8.48,0.00,0.00,0.61,0.00,2
-0.97,-0.02,-0.56,23.80,-14.65,1.04,0.23,0.16,0.00,0.00,2
-0.89,0.15,-0.70,110.05,-17.58,21.73,0.12,0.00,0.00,0.00,2
-1.07,-0.06,-0.31,206.12,-15.08,46.88,0.00,0.00,0.00,0.00,2
-1.04,0.05,-0.24,-27.28,-7.45,0.24,0.00,0.00,0.90,0.00,2
-1.06,-0.03,-0.46,15.63,-11.60,10.50,0.14,0.30,0.00,0.00,2
-0.92,-0.04,-0.57,15.14,-9.70,-1.59,0.27,0.13,0.00,0.00,2
-1.18,0.09,-0.70,80.38,-101.44,37.66,0.00,0.00,0.00,0.00,2
-1.27,-0.04,-0.04,-40.28,-20.14,-1.59,0.00,0.00,0.37,0.00,2
-1.11,0.02,-0.25,-32.35,-7.20,-3.05,0.00,0.00,0.94,0.00,2
-1.02,-0.13,-0.44,33.94,-8.42,1.40,0.00,0.00,0.53,0.00,2
-0.97,0.03,-0.59,-5.49,-12.57,-6.16,0.24,0.21,0.00,0.00,2
-0.97,0.04,-0.65,27.89,-11.72,2.69,0.00,0.00,0.00,0.00,2
-0.77,0.34,-0.21,-4.52,213.93,-42.66,0.00,0.00,0.00,0.00,2
-1.06,-0.11,-0.19,10.38,-23.38,18.62,0.00,0.00,0.80,0.00,2
-1.00,-0.06,-0.26,10.31,-14.65,17.64,0.00,0.00,0.90,0.00,2
-1.00,0.05,-0.46,15.56,-9.46,2.01,0.17,0.19,0.00,0.00,2
-0.96,-0.00,-0.66,3.48,-27.40,-12.57,0.23,0.00,0.00,0.00,2
-0.77,-0.15,-0.86,-69.64,3.05,-24.17,0.00,0.00,0.00,0.00,2
-0.98,0.16,-0.08,-4.21,-25.09,3.17,0.00,0.00,0.42,0.00,2
-1.04,-0.13,-0.24,-6.16,-10.99,7.63,0.00,0.00,0.87,0.00,2
-1.03,-0.09,-0.43,22.64,-12.63,6.84,0.00,0.11,0.59,0.00,2
-1.01,0.02,-0.55,12.94,-20.39,-5.37,0.28,0.26,0.00,0.00,2
-0.89,0.16,-0.79,24.72,-61.34,10.13,0.00,0.00,0.00,0.00,2
-1.65,-0.21,0.43,15.14,0.43,-10.93,0.00,0.00,0.00,0.00,2
-1.06,0.11,-0.26,53.16,-25.02,5.74,0.00,0.00,0.96,0.00,2
-0.94,0.02,-0.45,21.91,-16.24,40.34,0.00,0.00,0.99,0.00,2
-1.03,-0.04,-0.49,22.46,-8.97,1.34,0.17,0.17,0.00,0.00,2
-0.97,0.01,-0.63,0.24,-22.16,-9.89,0.25,0.22,0.00,0.00,2
-1.06,0.22,-0.76,72.81,-96.37,31.56,0.00,0.00,0.00,0.00,2
-1.10,-0.08,-0.00,-51.94,9.34,-5.07,0.00,0.00,0.00,0.00,2
-1.11,-0.05,-0.26,12.88,-27.95,21.67,0.00,0.00,0.76,0.00,2
-0.99,-0.08,-0.47,40.59,-12.70,12.27,0.20,0.15,0.22,0.00,2
-1.04,-0.03,-0.54,17.94,-21.48,2.69,0.29,0.37,0.00,0.00,2
-0.89,0.09,-0.80,0.49,-33.33,-10.13,0.00,0.00,0.00,0.00,2
-1.16,0.06,-0.90,-106.63,194.95,-22.95,0.00,0.00,0.00,0.00,2
-1.06,0.06,-0.16,20.75,-22.89,12.82,0.00,0.00,0.62,0.00,2
-1.08,0.01,-0.32,15.81,-19.10,10.99,0.00,0.06,0.54,0.00,2
-0.99,-0.04,-0.46,8.73,-14.16,7.75,0.11,0.18,0.21,0.00,2
-0.96,0.00,-0.59,-6.41,-13.61,-5.74,0.34,0.26,0.00,0.00,2
-0.87,0.08,-0.82,-0.49,-33.02,-5.31,0.00,0.00,0.00,0.00,2
-1.20,0.19,-0.82,133.97,180.30,32.41,0.00,0.00,0.00,0.00,2
-1.00,0.07,-0.15,-12.08,-10.86,5.49,0.00,0.00,0.70,0.00,2
-1.02,0.00,-0.30,5.37,-10.01,4.82,0.00,0.00,1.07,0.00,2
-1.01,-0.13,-0.40,12.27,-15.93,5.49,0.00,0.00,0.75,0.00,2
-0.99,-0.02,-0.55,0.00,-16.17,-5.68,0.33,0.21,0.00,0.00,2
-0.84,0.04,-0.80,16.05,-25.88,-4.70,0.00,0.00,0.00,0.00,2
-0.65,0.37,-0.65,-13.06,36.44,-69.34,0.00,0.00,0.00,0.00,2
-1.00,0.02,-0.50,-102.54,28.26,-25.45,0.00,0.00,0.61,0.00,2
-1.08,0.25,-0.39,57.56,-5.92,-20.45,0.00,0.00,0.00,0.00,2
-0.90,0.53,-0.33,3.17,-0.98,-6.35,0.00,0.00,0.00,0.00,2
-1.03,0.38,-0.47,-150.09,26.43,-33.02,0.00,0.00,0.00,0.00,2
-0.97,0.33,0.03,-21.42,-15.50,-9.28,0.00,0.00,0.33,0.00,2
