accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.28,0.02,-1.23,2.56,0.06,0.06,0.00,0.00,0.27,0.00,2
-0.28,0.01,-1.22,2.50,0.06,0.49,0.00,0.00,0.20,0.00,2
-0.29,0.02,-1.23,2.62,0.06,0.18,0.00,0.00,0.24,0.00,2
-0.29,0.02,-1.23,2.81,0.18,0.06,0.00,0.00,0.24,0.00,2
-0.28,0.02,-1.24,2.56,0.00,0.31,0.00,0.00,0.25,0.00,2
-0.29,0.01,-1.23,2.87,-0.18,0.00,0.00,0.00,0.23,0.00,2
-0.27,0.01,-1.23,2.93,1.95,0.12,0.00,0.00,0.23,0.00,2
-0.28,0.02,-1.22,2.75,-0.31,0.31,0.00,0.00,0.20,0.00,2
-0.27,0.02,-1.20,2.50,0.43,0.24,0.00,0.00,0.21,0.00,2
-0.28,0.02,-1.23,2.75,0.18,0.12,0.00,0.00,0.24,0.00,2
-0.28,0.02,-1.23,2.69,0.24,0.24,0.00,0.00,0.24,0.00,2
-0.28,0.01,-1.20,2.62,-0.79,0.06,0.00,0.00,0.25,0.00,2
-0.26,0.01,-1.18,1.65,0.79,0.12,0.00,0.00,0.25,0.00,2
-0.28,0.01,-1.22,2.44,-0.24,0.18,0.00,0.00,0.24,0.00,2
-0.28,0.02,-1.22,3.66,3.66,-2.01,0.00,0.00,0.21,0.00,2
-0.24,0.02,-1.24,-0.06,-4.09,-0.37,0.00,0.00,0.25,0.00,2
-0.24,0.01,-1.24,2.38,0.06,0.24,0.00,0.00,0.28,0.00,2
-0.23,0.01,-1.23,2.69,0.37,0.00,0.00,0.00,0.24,0.00,2
-0.24,0.01,-1.22,2.44,-0.49,0.06,0.12,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.69,0.00,0.00,0.59,0.00,0.00,0.00,2
-0.23,0.01,-1.24,2.62,0.37,0.00,0.00,0.00,0.19,0.00,2
-0.24,0.01,-1.24,2.75,0.06,0.18,0.00,0.00,0.18,0.00,2
-0.24,0.01,-1.24,2.50,0.24,0.31,0.00,1.25,0.22,0.00,2
-0.24,0.00,-1.24,2.69,0.06,0.00,0.00,0.13,0.26,0.00,2
-0.24,0.01,-1.24,2.69,-0.18,0.24,0.00,0.00,0.17,0.00,2
-0.24,0.01,-1.24,2.38,0.24,0.18,0.63,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.44,0.00,0.18,0.91,0.00,0.05,0.00,2
-0.24,0.01,-1.24,2.38,-0.24,0.12,0.00,0.23,0.22,0.00,2
-0.24,0.01,-1.24,2.50,0.37,0.18,0.00,0.00,0.22,0.00,2
-0.24,0.01,-1.23,2.38,0.49,0.06,0.00,0.00,0.18,0.00,2
-0.24,0.01,-1.24,2.56,-0.12,0.06,0.00,0.00,0.28,0.00,2
-0.23,0.01,-1.24,2.44,0.06,0.37,0.00,0.00,0.14,0.00,2
-0.23,0.01,-1.24,2.99,0.12,0.06,0.00,0.00,0.23,0.00,2
-0.24,0.00,-1.24,2.62,-0.24,0.43,0.00,0.00,0.24,0.00,2
-0.24,0.00,-1.23,2.32,0.79,-0.06,0.00,0.00,0.25,0.00,2
-0.25,0.01,-1.24,2.99,0.85,-0.98,0.00,0.00,0.16,0.00,2
-0.24,0.01,-1.24,2.75,0.37,0.00,0.00,0.00,0.25,0.00,2
-0.24,0.01,-1.24,2.20,-0.31,0.37,0.00,0.00,0.13,0.00,2
-0.23,0.00,-1.23,2.87,-0.12,-0.24,0.00,0.00,0.14,0.00,2
-0.24,0.00,-1.23,2.87,0.49,0.18,0.00,0.00,0.21,0.00,2
-0.24,0.01,-1.24,2.62,0.12,0.49,0.00,0.00,0.16,0.00,2
-0.24,0.01,-1.24,2.38,0.24,0.12,0.00,0.00,0.27,0.00,2
-0.24,0.01,-1.23,2.38,0.18,0.06,0.00,0.00,0.15,0.00,2
-0.24,0.00,-1.24,2.50,0.18,0.06,0.00,0.00,0.28,0.00,2
-0.24,0.01,-1.24,2.26,-0.79,0.55,0.00,0.00,0.15,0.00,2
-0.23,0.00,-1.24,2.38,0.00,0.06,0.00,0.00,0.29,0.00,2
-0.23,0.00,-1.23,2.50,0.24,0.24,0.00,0.00,0.17,0.00,2
-0.24,0.01,-1.23,2.44,-0.12,0.24,0.00,0.00,0.29,0.00,2
-0.24,0.01,-1.24,2.69,0.24,0.31,0.87,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.62,0.06,0.37,1.00,0.00,0.05,0.00,2
-0.23,0.00,-1.23,2.56,0.18,0.12,0.00,0.00,0.00,0.00,2
-0.24,0.00,-1.24,2.69,-0.12,0.43,0.00,0.00,0.25,0.00,2
-0.24,0.01,-1.24,2.87,-0.12,0.31,0.00,1.05,0.23,0.00,2
-0.24,0.00,-1.24,2.50,0.18,0.43,0.00,1.12,0.34,0.00,2
-0.24,0.01,-1.23,2.81,0.12,0.24,0.00,0.00,0.25,0.00,2
-0.23,0.01,-1.24,2.75,0.06,0.18,0.00,0.00,0.22,0.00,2
-0.24,0.01,-1.24,2.50,0.06,0.43,0.77,0.00,0.00,0.00,2
-0.24,0.00,-1.23,2.50,0.18,0.18,0.93,0.05,0.00,0.00,2
-0.24,0.01,-1.24,2.69,-0.12,-0.06,1.01,0.00,0.05,0.00,2
-0.24,0.01,-1.24,2.62,-0.31,0.06,1.00,0.00,0.00,0.00,2
-0.23,0.00,-1.24,2.50,0.00,0.06,1.02,0.00,0.06,0.00,2
-0.23,0.01,-1.24,2.50,0.37,0.12,0.00,0.00,0.26,0.00,2
-0.24,0.01,-1.24,2.50,0.12,0.37,0.00,0.00,0.21,0.00,2
-0.23,0.00,-1.23,2.26,0.06,0.00,0.00,0.00,0.25,0.00,2
-0.24,0.01,-1.23,2.50,0.12,0.18,0.00,0.00,0.24,0.00,2
-0.24,0.01,-1.24,2.87,0.31,0.06,0.00,0.00,0.24,0.00,2
-0.24,0.01,-1.23,2.20,0.31,0.12,0.85,0.00,0.00,0.00,2
-0.23,0.01,-1.24,2.62,0.06,0.18,0.93,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.56,-0.24,0.37,0.78,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.62,0.31,0.18,0.57,0.00,0.00,0.00,2
-0.23,0.00,-1.23,2.38,0.85,0.12,0.00,0.00,0.17,0.00,2
-0.24,0.01,-1.24,2.62,0.43,-0.06,0.00,0.00,0.15,0.00,2
-0.24,0.01,-1.23,2.50,-0.43,0.31,0.00,0.00,0.26,0.00,2
-0.24,0.00,-1.24,2.56,1.16,0.06,0.00,0.00,0.26,0.00,2
-0.24,0.01,-1.24,2.26,-0.37,0.67,0.00,0.00,0.24,0.00,2
-0.24,0.01,-1.23,2.87,0.49,-0.49,0.00,0.00,0.20,0.00,2
-0.24,0.00,-1.23,2.62,-0.98,0.06,0.00,0.00,0.26,0.00,2
-0.24,0.01,-1.24,2.56,0.37,0.31,0.00,0.00,0.25,0.00,2
-0.24,0.01,-1.23,2.50,-0.12,0.00,0.00,0.00,0.20,0.00,2
-0.24,0.00,-1.23,2.56,0.18,0.37,0.95,0.00,0.00,0.00,2
-0.23,0.01,-1.24,2.62,0.73,0.06,0.35,0.00,0.00,0.00,2
-0.23,0.00,-1.23,2.99,0.00,0.18,0.00,0.56,0.22,0.00,2
-0.24,0.01,-1.24,2.62,-0.12,0.18,0.00,1.09,0.23,0.00,2
-0.24,0.01,-1.24,2.56,0.24,0.06,0.00,0.00,0.21,0.00,2
-0.24,0.01,-1.24,2.62,0.06,0.43,0.00,0.00,0.16,0.00,2
-0.23,0.00,-1.25,2.50,0.00,0.31,0.83,0.98,0.00,0.00,2
-0.24,0.00,-1.24,2.62,0.31,0.18,0.93,1.04,0.00,0.00,2
-0.24,0.00,-1.23,2.69,0.00,0.31,0.89,1.02,0.07,0.00,2
-0.24,0.00,-1.24,2.69,-0.18,0.00,0.00,0.00,0.13,0.00,2
