accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
0.10,0.05,-1.24,2.81,0.55,-0.31,0.00,0.00,0.00
0.09,0.06,-1.24,2.75,-0.92,-0.31,0.00,0.00,0.00
0.08,0.04,-1.25,5.49,0.24,0.31,0.00,0.00,0.00
0.09,0.04,-1.23,4.94,-1.65,-0.49,0.00,0.00,0.00
0.10,0.06,-1.23,3.91,-1.46,0.67,0.00,0.00,0.00
0.11,0.05,-1.23,2.01,-2.56,-0.49,0.63,0.00,0.00
0.10,0.07,-1.24,3.11,-0.37,-0.43,0.67,0.00,0.00
0.10,0.08,-1.24,2.38,0.43,-0.06,0.84,0.00,0.00
0.10,0.07,-1.25,1.71,0.00,-0.24,0.59,0.00,0.00
0.09,0.07,-1.23,2.20,0.73,-0.06,0.00,0.00,0.00
0.10,0.05,-1.25,4.21,-0.37,-0.06,0.00,0.00,0.00
0.09,0.04,-1.23,4.64,1.16,0.61,0.00,0.00,0.00
0.09,0.07,-1.26,3.11,0.37,0.06,0.00,0.06,0.00
0.10,0.07,-1.23,1.53,-0.55,-0.31,0.00,0.00,0.00
0.10,0.05,-1.24,4.27,0.98,-0.06,0.00,0.00,0.00
0.09,0.06,-1.25,2.81,-0.67,-0.12,0.00,0.31,0.00
0.10,0.06,-1.24,2.56,-0.18,0.00,0.00,0.35,0.00
0.11,0.07,-1.24,2.08,-0.49,-0.18,0.00,0.00,0.05
0.11,0.07,-1.24,2.75,-0.31,-0.24,0.00,0.00,0.74
0.11,0.06,-1.25,2.69,-0.37,-0.18,0.00,0.00,0.80
0.11,0.06,-1.24,1.95,-0.24,-0.37,0.00,0.00,0.80
0.10,0.06,-1.25,3.48,0.12,0.18,0.00,0.00,0.83
0.10,0.06,-1.26,2.50,0.31,-0.18,0.00,0.00,0.14
0.11,0.07,-1.24,2.56,-0.24,-0.37,0.00,0.00,0.00
0.10,0.06,-1.24,1.77,0.55,-0.79,0.00,0.00,0.00
0.11,0.06,-1.24,2.75,-0.79,-0.31,0.00,0.00,0.00
0.02,0.01,-1.25,2.93,0.24,-0.06,0.00,0.00,0.00
0.01,0.01,-1.25,3.48,-1.28,-0.06,0.00,0.00,0.00
0.01,0.01,-1.25,3.11,-0.24,0.06,0.00,0.00,0.00
0.03,0.01,-1.25,2.69,0.43,0.18,0.00,0.00,0.00
0.02,-0.01,-1.24,0.12,-2.38,-0.92,0.00,0.00,0.00
0.02,0.01,-1.25,2.01,-0.61,0.12,0.00,0.00,0.00
0.02,0.01,-1.26,3.17,0.49,0.12,0.00,0.00,0.00
0.04,0.01,-1.25,3.42,-0.49,-0.12,0.00,0.00,0.00
0.02,0.02,-1.25,3.42,-0.49,0.06,0.00,0.00,0.00
0.04,0.02,-1.25,2.14,1.28,-0.12,0.00,0.00,0.00
0.02,0.01,-1.25,2.20,0.24,0.06,0.00,0.00,0.00
0.02,0.03,-1.26,2.93,-0.43,0.18,0.00,0.00,0.00
0.01,-0.03,-1.26,2.62,2.01,0.06,0.00,0.00,0.00
0.01,0.01,-1.25,5.62,-0.98,0.43,0.00,0.00,0.00
