accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.99,-0.17,-0.22,26.43,-21,19.96,0,0,1.12
-1.02,0.03,-0.39,-22.95,-19.47,-8.97,0,0.1,1.02
-0.94,-0.07,-0.65,14.22,-32.9,0.43,0.21,0.37,0
-1.03,0,-0.28,-9.16,-28.93,-0.49,0,0,1.23
-0.91,-0.19,-0.71,-0.92,-6.65,9.03,0,0,1.26
-1,0.18,-0.67,-39.86,-46.39,-21.67,0.19,0.14,0
-1.08,-0.04,-0.21,-0.06,-30.64,0.06,0,0,1
-1,-0.05,-0.31,0.79,-16.24,5.37,0,0,1.3
-0.95,-0.01,-0.61,-4.39,-38.02,-10.38,0.21,0.17,0
-1.04,-0.04,-0.09,12.15,-23.13,3.91,0,0,0.56
-1.05,-0.06,-0.31,-9.34,-20.81,1.71,0,0,1.21
-1,-0.02,-0.47,74.52,-11.84,20.75,0,0.07,0.57
-1.01,0.09,-0.66,-2.62,-21.42,-4.52,0.19,0.23,0
-0.96,0.23,-0.15,3.05,0.37,5.25,0,0,0.7
-1.01,-0.04,-0.43,-21.61,-13.06,-11.35,0,0,1.3
-0.79,0.25,-0.69,-22.34,-54.14,-0.79,0.05,0.26,0
-1.04,0,-0.27,14.71,-32.71,2.56,0,0,0.97
-0.98,-0.17,-0.53,10.01,-18.43,-2.26,0,0,0.65
-0.9,0.02,-0.84,9.34,-41.14,1.46,0.24,0.18,0
-1,-0.03,-0.24,-17.27,-32.17,5.55,0,0,0.98
-0.95,-0.17,-0.43,10.93,-16.36,3.42,0,0,0.89
-0.83,0.02,-0.79,-8.42,-51.45,-10.25,0.25,0.23,0
-0.97,-0.04,-0.07,4.7,-24.6,6.35,0,0,0.63
-1.03,-0.03,-0.4,-13.18,-21.97,3.3,0,0,1.22
-0.97,-0.12,-0.51,24.41,-25.63,-3.36,0,0.09,0.65
-0.85,0.03,-0.9,22.4,-29.11,-0.37,0.19,0.1,0
