accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.02,1,-0.18,2.32,-0.43,-0.92,0.29,0.2,0,0.73
0.03,1,-0.17,3.54,-0.67,-0.55,0.29,0.2,0,0.73
0.03,1,-0.15,6.35,-0.98,-1.04,0.29,0.19,0,0.74
-0.07,1.03,-0.31,-4.15,8.79,10.01,0.56,0.36,0,0.36
-0.03,1,-0.09,10.07,18.37,-7.08,0.56,0.45,0,0.59
0.54,0.94,-0.71,3.3,401.12,71.23,0,0,0,0
-0.05,1.04,-0.06,-4.82,-10.19,60.73,0.17,0,0,0.73
-0.08,1.08,-0.46,-74.65,-7.45,23.25,0.74,0.53,0,0
0.15,0.98,-0.69,86.12,-29.79,-31.49,0,0,0,0
0.17,1.04,-0.28,-46.81,5.8,19.23,0.56,0.48,0,0.1
0.22,0.56,-0.69,195.92,-23.19,-84.66,0,0,0,0
-0.11,0.99,-0.11,-35.77,23.86,2.87,0.65,0.33,0.05,0.27
-0.19,0.5,-0.61,164.49,-38.64,-14.1,0,0,0,0
-0.16,1.04,-0.09,-38.02,-45.65,8.91,0.66,0.33,0.04,0.32
0.25,1.4,-0.91,198.12,98.94,-101.07,0,0,0,0
0,1.03,-0.2,-37.78,0.18,12.51,0.57,0.41,0,0.27
0.04,0.71,-0.64,131.77,87.46,-158.14,0,0,0,0
0,0.97,-0.11,22.34,120.54,2.5,0,0,0,0.85
0.16,1.3,-0.38,-128.36,-16.17,-31.98,0,0.18,0,0
-0.64,0.84,-0.1,-72.81,92.29,33.63,0,0,0,0.65
-0.08,0.98,-0.4,-51.03,-8.06,20.51,0.72,0,0,0
0.09,1.42,-0.92,183.04,45.78,-53.34,0,0,0,0.05
0.08,1.02,-0.23,-27.16,21.73,-3.23,0.47,0,0,0.58
-0.19,0.62,-0.48,86.06,71.11,-10.07,0,0,0,0
0.02,1.09,-0.08,-59.88,-104.43,35.83,0.12,0,0,0.82
