accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
0.21,0.87,0.42,46.08,6.96,-21.24,0.31,0.29,0
-0.04,0.81,0.14,6.23,13.37,-17.52,0,0,0.34
0.27,0.84,0.45,-35.1,-22.34,17.09,0.32,0.38,0
0.29,0.97,0.37,41.93,30.76,-23.13,0.21,0.11,0.17
0.54,0.65,0.45,78.98,-57.56,-52.67,0,0,0.12
0.21,0.81,0.43,-14.47,-12.82,-0.37,0.26,0.22,0.11
0.52,0.68,0.59,24.48,15.01,-21.61,0.11,0,0.18
0.22,0.9,0.45,-12.21,-9.34,22.77,0.24,0,0
0.24,0.79,0.28,49.87,25.45,-16.42,0.41,0,0.21
-0.06,0.97,0.47,8,135.86,-8.36,0,0,0.07
0.34,0.46,0.41,26.18,-16.66,-36.01,0.43,0.17,0
-0.14,1.04,-0.03,17.15,30.15,-26.55,0.3,0.22,0.1
0.14,1.17,0.57,0.31,8.73,-13.61,0.11,0,0
0.23,0.74,0.15,61.95,26.92,-30.46,0.37,0.33,0
-0.16,0.9,0.08,-12.08,7.39,-18.19,0.39,0.3,0.05
0.59,0.35,0.58,93.93,-9.64,-71.11,0.28,0.17,0.1
-0.09,1,0,16.6,13,-16.11,0.2,0.08,0.64
0.55,0.6,0.75,29.05,-24.48,-14.4,0.32,0,0
0.13,0.89,0.22,25.94,16.36,-15.14,0.38,0.37,0
-0.21,1.18,-0.13,-15.32,123.29,14.53,0.14,0.12,0.38
