accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.19,0.87,0.03,-44.80,-12.88,36.25,0.00,0.00,0.00
-0.13,0.97,-0.07,6.96,6.16,-21.73,0.00,0.00,0.67
0.09,0.96,0.07,16.05,8.42,-8.24,0.10,0.07,0.59
-0.19,1.02,0.17,92.35,-53.34,-80.26,0.00,0.00,0.00
-0.13,0.86,0.01,23.86,-49.19,-32.65,0.00,0.00,0.00
-0.04,0.98,-0.04,27.71,-5.43,-21.67,0.18,0.16,0.42
-0.15,1.03,0.25,91.43,-61.34,-83.01,0.00,0.00,0.00
0.08,0.82,0.11,27.53,-79.96,-66.10,0.00,0.00,0.00
0.03,1.00,0.00,23.86,-11.84,-22.16,0.21,0.00,0.33
0.34,0.61,0.38,10.01,-105.41,-58.17,0.00,0.00,0.00
-0.20,0.80,0.41,-5.31,-64.88,-11.78,0.00,0.00,0.00
-0.19,0.96,-0.01,13.55,100.65,-21.85,0.00,0.00,0.25
0.11,0.92,0.08,21.48,-4.52,-15.87,0.00,0.40,0.00
0.52,0.46,0.71,45.41,-98.94,-69.64,0.00,0.00,0.00
-0.27,1.07,0.13,15.81,43.52,-19.90,0.00,0.00,0.60
0.02,0.95,0.08,33.75,-11.23,-29.60,0.26,0.36,0.00
-0.02,0.37,0.23,-107.06,20.20,81.12,0.00,0.00,0.00
-0.06,0.99,-0.05,33.94,49.56,-61.04,0.00,0.00,0.58
0.16,0.90,0.19,45.47,-44.68,-55.91,0.31,0.27,0.00
-0.19,0.90,0.25,-16.66,-163.02,-124.76,0.00,0.00,0.00
-0.35,1.02,0.03,15.75,-23.13,-26.06,0.00,0.00,0.38
0.07,0.95,0.10,25.39,3.60,-20.14,0.31,0.32,0.00
0.15,0.51,0.31,-90.39,99.98,61.10,0.00,0.00,0.00
-0.51,0.85,-0.29,24.17,13.43,-8.36,0.00,0.00,0.59
0.07,0.96,0.15,45.78,7.57,-30.15,0.25,0.44,0.00
-0.12,0.65,0.16,-176.33,-34.12,178.77,0.00,0.00,0.00
0.23,0.90,0.07,37.72,15.08,-23.93,0.00,0.00,0.68
0.37,0.85,0.23,29.79,-62.13,-50.23,0.07,0.30,0.00
-0.53,0.87,-0.06,-84.11,-77.58,63.66,0.00,0.00,0.00
-0.46,0.92,0.02,33.63,70.19,-25.88,0.00,0.00,0.39
0.03,0.94,0.10,31.19,-2.81,-26.06,0.39,0.26,0.00
0.06,0.45,0.17,-144.17,-5.25,117.13,0.00,0.00,0.00
-0.03,0.98,0.06,25.82,5.62,-51.09,0.00,0.00,0.73
0.11,0.99,0.10,45.53,-4.21,-30.33,0.23,0.35,0.00
-0.04,0.59,0.35,-207.40,9.40,186.16,0.00,0.00,0.00
-0.17,1.01,-0.16,17.15,17.82,-21.85,0.00,0.00,0.78
0.07,0.94,0.12,41.87,-21.24,-36.99,0.23,0.34,0.00
-0.10,0.51,0.48,-70.31,-50.11,-82.70,0.00,0.00,0.00
-0.67,0.98,-0.09,-8.85,100.65,4.21,0.00,0.00,0.53
